3,5,-1
431,434,-1
30,33,37
0,52,203
45,78,797
0,521,584
7,252,756
6,57,-1
255,756,941
25,60,-1
61,62,-1
63,278,494
341,771,774
14,55,95
13,149,223
16,207,352
15,350,379
381,986,-1
19,370,870
18,101,102
124,599,813
105,107,110
140,416,417
136,145,864
139,399,402
9,147,545
168,170,-1
720,722,-1
29,65,66
28,30,193
2,29,34
32,177,505
31,77,586
2,192,-1
30,35,179
34,68,272
272,273,489
2,181,-1
39,41,-1
38,40,500
39,49,-1
38,185,497
194,195,506
197,199,-1
594,705,707
4,46,218
45,47,798
46,49,-1
49,798,800
40,47,48
78,219,309
52,53,777
3,51,583
51,202,511
226,893,896
13,227,-1
238,534,-1
7,59,-1
59,241,-1
57,58,757
9,928,929
10,63,283
10,266,268
11,61,-1
279,492,493
28,194,484
28,68,735
484,735,920
35,66,275
284,301,319
71,247,289
70,274,280
73,258,296
72,290,327
76,576,579
285,318,598
74,952,953
32,304,305
4,50,313
80,824,827
79,325,611
540,554,556
83,570,770
82,84,338
83,88,774
87,326,824
87,338,823
85,86,570
84,89,337
88,90,341
89,115,116
148,149,225
644,869,872
364,368,866
653,866,867
13,151,153
98,381,385
98,99,384
96,97,-1
97,220,691
101,382,985
19,100,459
19,383,661
108,661,865
106,108,111
21,106,361
104,105,663
21,135,387
103,104,109
108,383,385
21,111,691
104,110,384
114,131,623
116,337,549
112,115,699
90,114,618
90,113,117
116,698,699
122,396,652
127,129,132
391,393,619
390,620,623
118,129,389
814,816,829
20,125,389
124,396,816
127,130,139
119,126,862
129,859,863
119,122,128
126,134,394
112,133,694
119,392,394
131,134,390
130,133,399
107,360,362
23,138,413
360,388,690
136,388,648
24,126,144
22,143,144
143,150,415
150,405,407
140,141,402
139,140,146
23,146,417
144,145,862
25,410,-1
91,154,155
14,91,152
141,142,153
95,230,415
149,153,156
95,150,152
148,156,160
148,346,420
152,154,405
332,422,530
159,329,332
158,160,420
154,159,403
533,744,766
163,744,747
162,766,768
429,430,-1
166,968,969
165,738,739
168,714,-1
26,167,712
170,439,447
26,169,-1
377,640,641
448,883,886
461,465,918
175,480,-1
174,464,477
177,508,922
31,176,303
558,561,922
34,181,489
181,491,-1
37,179,180
184,495,496
186,189,-1
182,185,186
41,184,-1
183,184,187
186,191,495
189,431,-1
183,188,190
189,191,436
187,190,501
33,193,198
29,192,194
42,65,193
42,196,197
195,199,513
43,195,198
192,197,-1
43,196,201
201,510,514
199,200,205
53,204,510
3,204,-1
202,203,205
201,204,-1
605,636,960
15,211,516
209,213,636
208,211,520
379,516,517
207,209,635
213,605,791
208,212,214
213,785,992
596,706,806
518,519,786
310,522,582
45,219,-1
50,218,524
99,693,-1
222,693,891
221,893,-1
14,225,-1
225,343,-1
91,223,224
54,228,-1
55,229,230
226,229,895
227,228,-1
151,227,231
230,414,895
409,412,-1
526,535,536
421,531,532
236,527,536
235,237,531
236,238,424
56,237,344
243,249,-1
542,571,936
58,242,-1
241,243,755
239,242,542
269,298,575
281,282,298
247,281,296
70,246,290
249,271,573
239,248,-1
252,255,748
252,751,-1
6,250,251
264,537,931
264,939,940
8,250,256
255,537,940
295,297,539
72,539,541
261,547,758
408,761,763
259,408,412
555,932,934
264,538,932
253,254,263
538,541,555
62,270,-1
268,574,575
62,267,269
244,268,283
266,271,574
248,270,-1
35,36,277
36,274,288
71,273,492
68,277,732
277,287,288
272,275,276
11,279,282
64,278,280
71,279,281
245,246,280
245,278,283
61,269,282
69,557,566
75,301,577
287,294,732
276,286,613
273,276,289
70,288,292
73,247,291
290,292,609
289,291,293
292,610,613
